subject,feature,region,hemi,method,c_x,c_y,n_units_tuned
sub-05,pixel,MT,,cca,0.01,0.01,1
sub-05,pixel,STS,,cca,1.0,0.001,2
sub-05,hue,MT,,cca,0.01,0.01,1
sub-05,hue,STS,,cca,1.0,0.0031622776601683794,2
sub-05,face,MT,,cca,0.01,0.03162277660168379,1
sub-05,face,STS,,cca,1.0,1.0,2
sub-05,num_agents,MT,,cca,1e-05,0.0001,1
sub-05,num_agents,STS,,cca,1.0,0.03162277660168379,2
sub-05,social,MT,,cca,0.0031622776601683794,0.31622776601683794,1
sub-05,social,STS,,cca,1.0,0.001,2
sub-05,valence,MT,,cca,0.01,0.31622776601683794,1
sub-05,valence,STS,,cca,1e-05,0.01,2
sub-05,arousal,MT,,cca,0.00031622776601683794,0.1,1
sub-05,arousal,STS,,cca,1e-05,0.00031622776601683794,2
sub-05,pitch,MT,,cca,0.01,0.03162277660168379,1
sub-05,pitch,STS,,cca,1e-05,0.03162277660168379,2
sub-05,amplitude,MT,,cca,0.01,0.31622776601683794,1
sub-05,amplitude,STS,,cca,1e-05,0.0001,2
sub-05,music,MT,,cca,0.1,0.0031622776601683794,1
sub-05,music,STS,,cca,1.0,0.00031622776601683794,2
sub-05,speaking,MT,,cca,0.0001,0.0001,1
sub-05,speaking,STS,,cca,1.0,1e-05,2
sub-05,turn_taking,MT,,cca,1e-05,1.0,1
sub-05,turn_taking,STS,,cca,1e-05,0.001,2
sub-05,mentalization,MT,,cca,0.01,0.0001,1
sub-05,mentalization,STS,,cca,1.0,0.0031622776601683794,2
sub-05,written_text,MT,,cca,0.01,1e-05,1
sub-05,written_text,STS,,cca,1.0,0.0001,2
sub-06,pixel,MT,,cca,0.01,0.01,1
sub-06,pixel,STS,,cca,1.0,0.31622776601683794,2
sub-06,hue,MT,,cca,0.01,0.01,1
sub-06,hue,STS,,cca,1e-05,0.01,2
sub-06,face,MT,,cca,0.01,0.03162277660168379,1
sub-06,face,STS,,cca,1e-05,0.001,2
sub-06,num_agents,MT,,cca,1e-05,0.0001,1
sub-06,num_agents,STS,,cca,1.0,0.0031622776601683794,2
sub-06,social,MT,,cca,0.0031622776601683794,0.31622776601683794,1
sub-06,social,STS,,cca,1e-05,1e-05,2
