subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,cross-subject encoding (MT+STS+language),cross-subject encoding (ISC),num_voxels,proportion_voxels,averaged_localizer_runs,averaged_response_runs
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,joint,NA,5.754571036605633,0.06322628949252783,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,joint,NA,3.1653112868064657,0.09554245886989586,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,joint,NA,4.852431844157704,0.06322628949252783,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,right,MT,joint,NA,2.8184320381079533,0.09554245886989586,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,pSTS,joint,NA,-0.10366052302387312,0.058887536577205614,0.029314728953379134,0.430301489815065,0.418469834563455,144.0,0.48,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,0.2956509368472922,0.06481948479385806,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,pSTS,joint,NA,0.0755847831292956,0.05639944924863865,0.03979883693427981,0.5169598740868867,0.5025066886893245,156.0,0.52,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,-0.5025386388265708,0.08194054401661195,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,left,pSTS,joint,NA,0.38712547156793525,0.058887536577205614,0.029314728953379134,0.430301489815065,0.418469834563455,144.0,0.48,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,joint,NA,0.7978072703333131,0.06481948479385806,0.06590290272609296,0.49840930463510685,0.4798654812277505,19.333333333333332,0.15466666666666667,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,right,pSTS,joint,NA,0.5150566451693585,0.05639944924863865,0.03979883693427981,0.5169598740868867,0.5025066886893245,156.0,0.52,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact-no_interact,interact,right,aSTS,joint,NA,0.4145145474907304,0.08194054401661195,0.05254810706650031,0.5525450546079292,0.5376266362915754,105.66666666666667,0.8453333333333334,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,joint,NA,2.501195267802514,-0.5315434549323831,0.08834557459170328,0.654812419483828,0.6054936603067843,50.333333333333336,0.2926356589147287,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,joint,NA,3.806440265742207,-0.6257996861828407,0.08238574663253945,0.6746549219747022,0.6448065319380628,121.66666666666667,0.7073643410852712,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,joint,NA,2.521616171740868,-0.5315434549323831,0.08834557459170328,0.654812419483828,0.6054936603067843,50.333333333333336,0.2926356589147287,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact&no_interact,interact,right,MT,joint,NA,3.8683763084598772,-0.6257996861828407,0.08238574663253945,0.6746549219747022,0.6448065319380628,121.66666666666667,0.7073643410852712,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,pSTS,joint,NA,0.7928953195345733,-0.6852934711436521,0.030350403170522042,0.5804507123288625,0.5587160464413968,87.66666666666667,0.2922222222222222,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,no_interact,left,aSTS,joint,NA,-0.4338151118239768,-0.12212812450855036,0.07664935717164448,0.5170431005946252,0.49596441181806417,13.333333333333334,0.10666666666666667,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,pSTS,joint,NA,0.7479655403776192,-0.3071923732622186,0.0362771601402724,0.5367942962920927,0.5165699193803418,212.33333333333334,0.7077777777777777,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,no_interact,right,aSTS,joint,NA,-0.01493456865774484,-0.19425452780023234,0.037636793360988484,0.5335792818721646,0.5337391250675444,111.66666666666667,0.8933333333333334,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,left,pSTS,joint,NA,2.022573849465166,-0.6852934711436521,0.030350403170522042,0.5804507123288625,0.5587160464413968,87.66666666666667,0.2922222222222222,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,left,aSTS,joint,NA,0.4578524126067672,-0.12212812450855036,0.07664935717164448,0.5170431005946252,0.49596441181806417,13.333333333333334,0.10666666666666667,"12,23,13","3,1,2"
sub-06,SIpointlights,SIpointlights,interact-no_interact,interact,right,pSTS,joint,NA,1.6861616215478534,-0.3071923732622186,0.0362771601402724,0.5367942962920927,0.5165699193803418,212.33333333333334,0.7077777777777777,"12,23,13","3,1,2"
