subject,glm_task_localizer,glm_task_response,localizer_contrast,glm_response_contrast,hemisphere,mask,model,enc_feature_name,glm_weight,encoding_response,ISC,cross-subject encoding (MT+STS+language),cross-subject encoding (ISC),num_voxels,proportion_voxels,averaged_localizer_runs,averaged_response_runs
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang,alexnet_layer1,5.754571036605633,0.008394381555178925,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang,alexnet_layer2,5.754571036605633,0.002154260470598744,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang,alexnet_layer3,5.754571036605633,0.0024448333076749003,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang,alexnet_layer4,5.754571036605633,0.0033559380394478553,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang,alexnet_layer5,5.754571036605633,0.01814246202155966,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang,alexnet_layer6,5.754571036605633,0.024981770617989747,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,left,MT,vislang,alexnet_layer7,5.754571036605633,0.005924340982505737,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang,alexnet_layer1,3.1653112868064657,0.006345756825027035,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang,alexnet_layer2,3.1653112868064657,0.0023414403065818053,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang,alexnet_layer3,3.1653112868064657,0.0022205511812591547,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang,alexnet_layer4,3.1653112868064657,0.003746485042128933,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang,alexnet_layer5,3.1653112868064657,0.011118770012505741,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang,alexnet_layer6,3.1653112868064657,0.02760910652240985,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,no_interact,right,MT,vislang,alexnet_layer7,3.1653112868064657,0.009376607427855057,0.10522609455192673,0.5956618056035062,0.5640357781021126,92.0,0.5348837209302326,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang,alexnet_layer1,4.852431844157704,0.008394381555178925,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang,alexnet_layer2,4.852431844157704,0.002154260470598744,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang,alexnet_layer3,4.852431844157704,0.0024448333076749003,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang,alexnet_layer4,4.852431844157704,0.0033559380394478553,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang,alexnet_layer5,4.852431844157704,0.01814246202155966,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
sub-05,SIpointlights,SIpointlights,interact&no_interact,interact,left,MT,vislang,alexnet_layer6,4.852431844157704,0.024981770617989747,0.09882740385178057,0.6242670167741752,0.5748410743606125,80.0,0.46511627906976744,"12,23,13","3,1,2"
