contrast,estimate,SE,df,t.ratio,p.value,hemisphere
MT__STS - MT__frontal,0.11399350349713347,0.04542091610158909,320.435284691867,2.5097138781211266,0.1886346568352039,left
MT__STS - MT__temporal,0.09753407283606047,0.03671545756187131,326.81245821702754,2.6564852874759968,0.12425147809979917,left
MT__STS - STS__frontal,-0.11367152591512679,0.03671545756187131,326.81245821702754,-3.096012782179615,0.03196713358662228,left
MT__STS - STS__temporal,-0.1926747705700098,0.031472327943966295,331.9372296715583,-6.122037458209328,3.910440384940836e-08,left
MT__STS - frontal__temporal,-0.2574894332161282,0.03671545756187131,326.81245821702754,-7.013107021265309,2.0179304894827668e-10,left
MT__frontal - MT__temporal,-0.016459430661073,0.046315271634635446,305.2027236836506,-0.35537804443673654,1.0,left
MT__frontal - STS__frontal,-0.22766502941226024,0.046315271634635446,305.2027236836506,-4.915549912094394,2.1718110411929678e-05,left
MT__frontal - STS__temporal,-0.30666827406714325,0.042279865052115,305.2027236836439,-7.253293587601045,5.058255980417091e-11,left
MT__frontal - frontal__temporal,-0.3714829367132617,0.046315271634635446,305.2027236836506,-8.02074399225718,3.406850091551733e-13,left
MT__temporal - STS__frontal,-0.21120559875118727,0.03781626093441874,305.2027236836506,-5.58504710757792,7.757136981417749e-07,left
MT__temporal - STS__temporal,-0.2902088434060703,0.03274984264534767,305.2027236836506,-8.861381306431905,1.0019278368341455e-15,left
MT__temporal - frontal__temporal,-0.3550235060521887,0.037816260934418734,305.2027236836506,-9.388117631932817,2.1975349404093333e-17,left
STS__frontal - STS__temporal,-0.07900324465488302,0.03274984264534767,305.2027236836506,-2.412324404438198,0.24661223936588822,left
STS__frontal - frontal__temporal,-0.1438179073010014,0.037816260934418734,305.2027236836506,-3.803070524354896,0.0025890450460250014,left
STS__temporal - frontal__temporal,-0.0648146626461184,0.03274984264534767,305.2027236836506,-1.9790831775286635,0.7305771408477535,left
MT__STS - MT__frontal,0.12020842519178931,0.047112774849964775,282.18855512138265,2.55150382406056,0.16880266508184383,right
MT__STS - MT__temporal,0.16481487845245174,0.03578816826523241,289.0068336614931,4.605289581489047,9.271009747768615e-05,right
MT__STS - STS__frontal,-0.07630094237226993,0.03756741057962988,289.0764589763571,-2.0310407663189456,0.6474856066628231,right
MT__STS - STS__temporal,-0.12471656250442174,0.03048535397096353,294.2355235586005,-4.091032127204784,0.0008324910104833174,right
MT__STS - frontal__temporal,-0.07336438912574575,0.038167744527569485,288.67260245637755,-1.9221567853650057,0.8335516572317132,right
MT__frontal - MT__temporal,0.044606453260662426,0.048504964211711056,268.7261515376496,0.9196265575203255,1.0,right
MT__frontal - STS__frontal,-0.19650936756405923,0.04924337162720442,266.6756777588063,-3.990574996605187,0.0012785103680504075,right
MT__frontal - STS__temporal,-0.24492498769621107,0.04473583990642988,269.0816611645377,-5.47491649220177,1.5051498030826928e-06,right
MT__frontal - frontal__temporal,-0.19357281431753506,0.04971028040947977,266.867419655519,-3.894019762572505,0.001869978011597562,right
MT__temporal - STS__frontal,-0.24111582082472166,0.03929921547275955,269.7815437134895,-6.1353850941846995,4.523969553769591e-08,right
MT__temporal - STS__temporal,-0.2895314409568735,0.032470117695150714,266.67567775881133,-8.91685837652858,1.169900815348142e-15,right
MT__temporal - frontal__temporal,-0.2381792675781975,0.0397971817730356,269.39047267491463,-5.984827491970167,1.0326074117749819e-07,right
STS__frontal - STS__temporal,-0.04841562013215181,0.03453971852416776,270.67633937217005,-1.401737541615313,1.0,right
STS__frontal - frontal__temporal,0.0029365532465241845,0.04077755218234809,266.96049600357117,0.07201396575725232,1.0,right
STS__temporal - frontal__temporal,0.051352173378675994,0.03510526308162909,270.1500722615068,1.462805541700927,1.0,right
