contrast,estimate,SE,df,t.ratio,p.value,hemisphere
MT__STS - MT__frontal,0.1853300886903705,0.039791795473002746,321.01402787813396,4.657495005876527,7.040918426655934e-05,both
MT__STS - MT__temporal,0.20370787094605775,0.03213780150631091,327.4847448964129,6.338575179327545,1.1516497890639123e-08,both
MT__STS - STS__frontal,-0.06498305324714958,0.03213780150631091,327.4847448964052,-2.02201302520301,0.6598159982333981,both
MT__STS - STS__temporal,-0.11761059332741887,0.027523879359674566,332.5837596817676,-4.2730383966052035,0.00037813693927305067,both
MT__STS - frontal__temporal,-0.18922171710330676,0.03213780150631092,327.4847448964129,-5.887823940481716,1.4540114357783448e-07,both
MT__frontal - MT__temporal,0.01837778225568726,0.04064044911069172,305.40545801772754,0.4522042117603572,1.0,both
MT__frontal - STS__frontal,-0.2503131419375201,0.04064044911069172,305.40545801772754,-6.159212002203674,3.4516844758536176e-08,both
MT__frontal - STS__temporal,-0.30294068201778934,0.03709948454177771,305.40545801772754,-8.165630486769917,1.2766575956185888e-13,both
MT__frontal - frontal__temporal,-0.37455180579367725,0.04064044911069172,305.40545801772754,-9.21623195584076,7.722587512595041e-17,both
MT__temporal - STS__frontal,-0.26869092419320734,0.03318278774624703,305.40545801772754,-8.097298100687645,2.0292598382856686e-13,both
MT__temporal - STS__temporal,-0.3213184642734766,0.028737137156636908,305.40545801772754,-11.181296958081552,2.2087986409939417e-23,both
MT__temporal - frontal__temporal,-0.3929295880493645,0.03318278774624703,305.40545801772754,-11.84136761064642,1.0619766993311495e-25,both
STS__frontal - STS__temporal,-0.05262754008026929,0.028737137156636908,305.40545801772754,-1.8313424818002388,1.0,both
STS__frontal - frontal__temporal,-0.12423866385615719,0.033182787746247035,305.40545801772083,-3.7440695099587753,0.0032451630263175754,both
STS__temporal - frontal__temporal,-0.0716111237758879,0.028737137156636908,305.40545801772754,-2.4919365970785,0.19852532893077998,both
