subject,axis,mask1_name,mask2_name,mask1_measure_label,mask2_measure_label,hemi1,hemi2,hemi_label,corr,corr1,pvalue1
sub-05,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.766575849320722,0.766575849320722,0.0
sub-05,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.766575849320722,0.766575849320722,0.0
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.15948093164113702,0.15948093164113702,9.674912286177804e-25
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.36896532107953933,0.36896532107953933,2.7069325081937473e-132
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.27018926274242466,0.27018926274242466,1.8745854766634888e-69
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.3771653562831862,0.3771653562831862,1.2712689580825637e-138
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.4122623973644387,0.4122623973644387,7.508317246963657e-168
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.38764961185385316,0.38764961185385316,5.528230145212987e-147
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.5078484001934256,0.5078484001934256,1.638406798492491e-267
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.44156232917887345,0.44156232917887345,4.361710583902827e-195
sub-05,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.5507793161526319,0.5507793161526319,1e-323
sub-05,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.5507793161526319,0.5507793161526319,1e-323
sub-05,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.5621511626029778,0.5621511626029778,0.0
sub-05,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.5794374661961529,0.5794374661961529,0.0
sub-05,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.5874104946475597,0.5874104946475597,0.0
sub-05,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.7292136340026777,0.7292136340026777,0.0
sub-05,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.7052423234504008,0.7052423234504008,0.0
sub-05,alexnet,interact-no_interact-pSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.7052423234504008,0.7052423234504008,0.0
sub-06,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,left,right,left_right,0.8716563028793533,0.8716563028793533,0.0
sub-06,alexnet,interact&no_interact-MT,interact&no_interact-MT,SIpointlights,SIpointlights,right,left,right_left,0.8716563028793534,0.8716563028793534,0.0
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,left,left_left,0.1202959531202762,0.1202959531202762,1.1215520459935169e-14
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.06859654796025559,0.06859654796025559,1.1127597026363204e-05
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,left,right_left,0.0874911240222271,0.0874911240222271,2.0411131599805482e-08
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,right,right,right_right,0.14670956726446477,0.14670956726446477,3.812211893552013e-21
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,left,left_left,0.14331707106081312,0.14331707106081312,3.052153038810349e-20
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,left,right,left_right,0.2950948669330549,0.2950948669330549,4.2618652238149144e-83
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,left,right_left,0.18974015820469786,0.18974015820469786,1.6571058522887125e-34
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,right,right,right_right,0.3736410714866366,0.3736410714866366,7.023469028025104e-136
sub-06,alexnet,interact-no_interact-aSTS,interact-no_interact-aSTS,SIpointlights,SIpointlights,left,right,left_right,0.40540970710133795,0.40540970710133795,7.309896156927165e-162
