subject,axis,mask1_name,mask2_name,mask1_measure_label,mask2_measure_label,hemi1,hemi2,hemi_label,corr,corr1,pvalue1
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.39635333523385224,0.39635333523385224,3.6730471941722776e-154
sub-05,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.5185909241589864,0.5185909241589864,7.884291159860249e-281
sub-05,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.6995830315156373,0.6995830315156373,0.0
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.1320520745006825,0.1320520745006825,2.1398576769429904e-17
sub-06,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.3010494273954826,0.3010494273954826,1.437005597800849e-86
sub-06,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.7488419107099515,0.7488419107099515,0.0
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.23017544996867598,0.23017544996867598,2.179691142215322e-50
sub-07,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.5250453354269945,0.5250453354269945,4.593339987392038e-289
sub-07,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.6503394947829467,0.6503394947829467,0.0
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.3074265387250403,0.3074265387250403,2.222695738616142e-90
sub-08,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.5734289066413614,0.5734289066413614,0.0
sub-08,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.8112040145775906,0.8112040145775906,0.0
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.24779202991026986,0.24779202991026986,2.3280316216578323e-58
sub-09,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.5863431051203842,0.5863431051203842,0.0
sub-09,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.6077921255146141,0.6077921255146141,0.0
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.3686443748546861,0.3686443748546861,4.747248951106788e-132
sub-10,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.5465100142397242,0.5465100142397242,0.0
sub-10,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.6826719779252224,0.6826719779252224,0.0
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.4675654083306181,0.4675654083306181,1.3112157789559665e-221
sub-14,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.5711727039478847,0.5711727039478847,0.0
sub-14,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.6432304495198448,0.6432304495198448,0.0
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.3869208409387395,0.3869208409387395,2.156644638251926e-146
sub-15,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.42110107322053825,0.42110107322053825,8.751629587402292e-176
sub-15,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.7389455106768419,0.7389455106768419,0.0
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-aSTS,SIpointlights,SIpointlights,both,both,both_both,0.43487618577331033,0.43487618577331033,1.2419995080866894e-188
sub-16,alexnet,interact&no_interact-MT,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.481440304479921,0.481440304479921,9.919113457930087e-237
sub-16,alexnet,interact-no_interact-aSTS,interact-no_interact-pSTS,SIpointlights,SIpointlights,both,both,both_both,0.7951656396998019,0.7951656396998019,0.0
sub-19,alexnet,intact-degraded-aTemp,intact-degraded-frontal,language,language,both,both,both_both,0.7174640205039398,0.7174640205039398,0.0
sub-19,alexnet,intact-degraded-aTemp,intact-degraded-pTemp,language,language,both,both,both_both,0.8360071385442669,0.8360071385442669,0.0
