,subject,annotated_feature,region,method,score
0,sub-05,pixel,MT,cca,0.1334150486866604
1,sub-05,pixel,STS,cca,0.042676402177709336
2,sub-05,hue,MT,cca,-0.04280649550327718
3,sub-05,hue,STS,cca,0.07811714362722535
4,sub-05,face,MT,cca,0.04041136102477631
5,sub-05,face,STS,cca,0.06684865593975467
6,sub-05,number of agents,MT,cca,0.015347818447408023
7,sub-05,number of agents,STS,cca,0.011519405444487485
8,sub-05,social,MT,cca,0.05932009864627843
9,sub-05,social,STS,cca,0.0423784870050707
10,sub-05,valence,MT,cca,0.0965913488692816
11,sub-05,valence,STS,cca,0.015928936873345068
12,sub-05,arousal,MT,cca,-0.08216331892035271
13,sub-05,arousal,STS,cca,0.05067892369529077
14,sub-05,pitch,MT,cca,0.07164512336041584
15,sub-05,pitch,STS,cca,-0.1136789890980064
16,sub-05,amplitude,MT,cca,-0.06427229088568454
17,sub-05,amplitude,STS,cca,-0.06567503833371542
18,sub-05,music,MT,cca,-0.03501648979915686
19,sub-05,music,STS,cca,0.08502041004033023
20,sub-05,speaking,MT,cca,-0.03627730649162
21,sub-05,speaking,STS,cca,-0.07060027721989863
22,sub-05,turn taking,MT,cca,0.027583362729955697
23,sub-05,turn taking,STS,cca,-0.03718034152911624
24,sub-05,mentalization,MT,cca,0.05519510519433459
25,sub-05,mentalization,STS,cca,0.07365993790451415
26,sub-05,written text,MT,cca,0.037448348477413206
27,sub-05,written text,STS,cca,0.05568076825728703
28,sub-06,pixel,MT,cca,0.1334150486866604
29,sub-06,pixel,STS,cca,0.05821393168242404
30,sub-06,hue,MT,cca,-0.04280649550327718
31,sub-06,hue,STS,cca,0.026371168126569255
32,sub-06,face,MT,cca,0.04041136102477631
33,sub-06,face,STS,cca,0.11107917435031256
34,sub-06,number of agents,MT,cca,0.015347818447408023
35,sub-06,number of agents,STS,cca,-0.004970237213566753
36,sub-06,social,MT,cca,0.05932009864627843
37,sub-06,social,STS,cca,0.1599931582510823
38,sub-06,valence,MT,cca,0.0965913488692816
