subject,annotated_feature,region,method,score
sub-05,pixel,MT,cca,0.13341504868666046
sub-05,pixel,STS,cca,0.04582041845250588
sub-05,hue,MT,cca,-0.04280649550327727
sub-05,hue,STS,cca,0.0827119091002024
sub-05,face,MT,cca,0.04041136102477616
sub-05,face,STS,cca,0.06684865593975534
sub-05,number of agents,MT,cca,0.015347818447407558
sub-05,number of agents,STS,cca,0.012476471234053843
sub-05,social,MT,cca,0.05932009864627863
sub-05,social,STS,cca,0.04581946506317407
sub-05,valence,MT,cca,0.09659134886928164
sub-05,valence,STS,cca,0.020333790039557598
sub-05,arousal,MT,cca,-0.08216331892035225
sub-05,arousal,STS,cca,0.05994504739138919
sub-05,pitch,MT,cca,0.07164512336041592
sub-05,pitch,STS,cca,-0.1137172872931824
sub-05,amplitude,MT,cca,-0.06427229088568458
sub-05,amplitude,STS,cca,-0.06219563407366049
sub-05,music,MT,cca,-0.03501648979915637
sub-05,music,STS,cca,0.08502041004033031
sub-05,speaking,MT,cca,-0.03627730649162027
sub-05,speaking,STS,cca,-0.06962662282160251
sub-05,turn taking,MT,cca,0.02758336272995563
sub-05,turn taking,STS,cca,-0.036949428167512545
sub-05,mentalization,MT,cca,0.05519510519433415
sub-05,mentalization,STS,cca,0.07398015255050465
sub-05,written text,MT,cca,0.03744834847741305
sub-05,written text,STS,cca,0.05568076825728707
sub-06,pixel,MT,cca,0.13341504868666046
sub-06,pixel,STS,cca,0.058011068181165394
sub-06,hue,MT,cca,-0.04280649550327727
sub-06,hue,STS,cca,0.026756758966201843
sub-06,face,MT,cca,0.04041136102477616
sub-06,face,STS,cca,0.11084762567054422
sub-06,number of agents,MT,cca,0.015347818447407558
sub-06,number of agents,STS,cca,-0.004946701510324214
sub-06,social,MT,cca,0.05932009864627863
sub-06,social,STS,cca,0.16003063863569075
sub-06,valence,MT,cca,0.09659134886928164
sub-06,valence,STS,cca,0.15270358726820535
sub-06,arousal,MT,cca,-0.08216331892035225
sub-06,arousal,STS,cca,0.05640088718032752
sub-06,pitch,MT,cca,0.07164512336041592
sub-06,pitch,STS,cca,-0.10931569090015766
sub-06,amplitude,MT,cca,-0.06427229088568458
sub-06,amplitude,STS,cca,0.04295287562440091
sub-06,music,MT,cca,-0.03501648979915637
sub-06,music,STS,cca,0.035312009126347396
sub-06,speaking,MT,cca,-0.03627730649162027
sub-06,speaking,STS,cca,0.14076892481635156
sub-06,turn taking,MT,cca,0.02758336272995563
sub-06,turn taking,STS,cca,0.11907792196852149
sub-06,mentalization,MT,cca,0.05519510519433415
sub-06,mentalization,STS,cca,0.043797710564634065
sub-06,written text,MT,cca,0.03744834847741305
sub-06,written text,STS,cca,0.06435799827458269
sub-07,pixel,MT,cca,0.04732295371769333
sub-07,pixel,STS,cca,-0.059598784398029125
sub-07,hue,MT,cca,-0.04191248282750106
sub-07,hue,STS,cca,0.12811896902043401
sub-07,face,MT,cca,-0.0034167892665073253
sub-07,face,STS,cca,-0.04361078923570496
sub-07,number of agents,MT,cca,0.010564938355093423
sub-07,number of agents,STS,cca,0.0627465931101292
sub-07,social,MT,cca,0.046688205583743335
sub-07,social,STS,cca,0.03620876283444614
sub-07,valence,MT,cca,-0.056966001591410034
sub-07,valence,STS,cca,0.049195459533575694
sub-07,arousal,MT,cca,0.014605120188824672
sub-07,arousal,STS,cca,0.01865270858037067
sub-07,pitch,MT,cca,0.04009153653262669
sub-07,pitch,STS,cca,0.040711843467518126
sub-07,amplitude,MT,cca,-0.06465218615610806
sub-07,amplitude,STS,cca,-0.05439979549686713
sub-07,music,MT,cca,0.012622389290992242
sub-07,music,STS,cca,0.013591830349008415
sub-07,speaking,MT,cca,0.05606996532320485
sub-07,speaking,STS,cca,0.036798787074734406
sub-07,turn taking,MT,cca,0.03894582405141602
sub-07,turn taking,STS,cca,-0.057951107142910144
sub-07,mentalization,MT,cca,0.05412696766957459
sub-07,mentalization,STS,cca,-0.022455952084173992
sub-07,written text,MT,cca,0.014150369230137017
sub-07,written text,STS,cca,-0.057036141136474414
sub-08,pixel,MT,cca,0.11322233054560393
sub-08,pixel,STS,cca,0.11472140997130405
sub-08,hue,MT,cca,0.04992926145942487
sub-08,hue,STS,cca,0.001594722500486756
sub-08,face,MT,cca,0.0703440388111384
sub-08,face,STS,cca,0.0913556956938677
sub-08,number of agents,MT,cca,-0.06822422110618087
sub-08,number of agents,STS,cca,0.0461562303993839
sub-08,social,MT,cca,0.0709074128619166
sub-08,social,STS,cca,0.09278987522650943
