subject,hemi,mask,annotated_feature,correlation
sub-05,left,MT,pixel,0.02565902084740207
sub-05,left,MT,hue,-0.014343054996524034
sub-05,left,MT,face,-0.035509200966378204
sub-05,left,MT,num_agents,-0.007510315249527097
sub-05,left,MT,social,-0.02798431673572004
sub-05,left,MT,valence,-0.00828768958421089
sub-05,left,MT,arousal,0.00808046084380924
sub-05,left,MT,pitch,-0.008875190890310936
sub-05,left,MT,amplitude,0.017893469087920895
sub-05,left,MT,music,-0.008649085239111278
sub-05,left,MT,speaking,-0.013094420944292818
sub-05,left,MT,turn_taking,-0.005097826131392388
sub-05,left,MT,mentalization,-0.01054047295793354
sub-05,left,MT,written_text,0.013080137994021966
sub-05,right,MT,pixel,0.0422572687413347
sub-05,right,MT,hue,-0.012352904312630312
sub-05,right,MT,face,-0.032444035398765864
sub-05,right,MT,num_agents,-0.008213546048382626
sub-05,right,MT,social,-0.034154634841251745
sub-05,right,MT,valence,-0.018239400264374317
sub-05,right,MT,arousal,-0.004874381278860608
sub-05,right,MT,pitch,-0.009622372294866757
sub-05,right,MT,amplitude,0.00511698724480829
sub-05,right,MT,music,-0.018216218866706952
sub-05,right,MT,speaking,-0.016447641838246454
sub-05,right,MT,turn_taking,-0.009519626876571914
sub-05,right,MT,mentalization,-0.023921904221780945
sub-05,right,MT,written_text,0.011360109556429458
sub-05,left,STS,pixel,0.03289541018967899
sub-05,left,STS,hue,-0.03431371158349977
sub-05,left,STS,face,-0.023206757595874854
sub-05,left,STS,num_agents,-0.008709710978783468
sub-05,left,STS,social,-0.012455939017646616
sub-05,left,STS,valence,-0.0011196248497505664
sub-05,left,STS,arousal,-0.015418302531602458
sub-05,left,STS,pitch,-7.851425896502042e-05
sub-05,left,STS,amplitude,-0.008871926102073933
sub-05,left,STS,music,-0.031956497490250375
sub-05,left,STS,speaking,-0.0002390265430339546
sub-05,left,STS,turn_taking,0.0015987761739414573
sub-05,left,STS,mentalization,-0.02401226272900318
sub-05,left,STS,written_text,0.0025604213526170616
sub-05,right,STS,pixel,0.016706765742975964
sub-05,right,STS,hue,-0.0005576388183202562
sub-05,right,STS,face,0.0011915085061272466
sub-05,right,STS,num_agents,-0.01307863691162898
sub-05,right,STS,social,0.003284222601101235
sub-05,right,STS,valence,0.002713253989381881
sub-05,right,STS,arousal,0.008430469172728236
sub-05,right,STS,pitch,-0.004415282629780579
sub-05,right,STS,amplitude,-0.015575318894319805
sub-05,right,STS,music,-0.016523236727843605
sub-05,right,STS,speaking,0.011160953997748345
sub-05,right,STS,turn_taking,0.010915625561633153
sub-05,right,STS,mentalization,-0.0010296872842691467
sub-05,right,STS,written_text,0.0038313059408758973
sub-06,left,MT,pixel,0.038252657237256106
sub-06,left,MT,hue,-0.036630783674512675
sub-06,left,MT,face,-0.023717924448410112
sub-06,left,MT,num_agents,-0.007411993847946774
sub-06,left,MT,social,-0.020356251585577224
sub-06,left,MT,valence,-0.00021135170206405777
sub-06,left,MT,arousal,0.008440374019092525
sub-06,left,MT,pitch,-0.012154983271182902
sub-06,left,MT,amplitude,0.015200991880391132
sub-06,left,MT,music,-0.02908504173049994
sub-06,left,MT,speaking,-0.0017730677781031437
sub-06,left,MT,turn_taking,-0.004884161126696362
sub-06,left,MT,mentalization,-0.013149891896835414
sub-06,left,MT,written_text,0.01003569811950279
sub-06,right,MT,pixel,0.026371518839597385
